O1x,O2x,O3x,O4x,O5x,O1y,O2y,O3y,O4y,O5y,Rshot
23.55,15.14,-9.64,9.86,-17.41,37.0,19.29,44.64,42.19,34.74,3
1.13,-14.7,-22.8,-1.85,19.98,9.73,17.02,36.04,38.78,26.15,3
-20.67,23.04,-21.75,-3.6,-1.25,21.08,39.78,33.55,38.1,13.56,3
12.06,1.8,23.4,-23.53,-6.13,41.41,26.01,40.56,41.91,15.23,3
-23.29,17.7,2.71,-10.25,-1.08,42.46,32.98,40.51,15.74,36.1,3
-21.4,-3.75,-22.67,4.64,17.49,23.26,17.68,43.25,39.86,37.31,3
-11.84,-10.87,6.34,-17.64,13.49,39.45,14.48,25.78,41.4,20.74,3
-3.33,4.02,-22.99,4.82,22.04,46.01,12.14,43.84,39.77,32.65,3
3.75,23.04,-9.73,9.07,-19.24,48.24,43.16,38.95,28.71,34.0,3
20.42,2.39,-14.94,-7.22,-22.72,27.54,34.42,34.82,43.5,36.74,3
-9.35,0.98,-18.31,-6.03,-23.45,40.49,40.57,22.75,12.08,43.39,3
0.13,-2.1,23.06,7.51,14.33,12.52,41.1,39.25,40.45,21.51,3
20.66,13.71,-21.61,-2.88,-1.67,38.08,20.21,40.88,22.02,39.42,3
14.32,-9.2,23.31,-2.41,-4.73,18.96,41.78,41.67,36.75,41.58,3
7.75,-23.08,5.55,21.04,-11.99,31.18,42.93,42.62,32.91,23.45,3
-11.37,19.9,22.83,5.17,-2.69,29.31,24.7,41.42,13.13,37.37,3
-17.17,-4.19,-1.8,9.49,6.33,28.32,41.63,15.48,43.24,35.59,3
0.9,-2.05,21.11,4.12,-22.98,37.28,1.65,29.33,42.52,37.93,3
-3.79,-20.65,-5.77,5.15,-23.52,15.38,20.16,37.94,30.43,40.83,3
-11.7,16.04,-18.4,-0.55,-23.4,26.95,19.74,22.24,18.67,39.08,3
6.35,-13.56,22.75,2.41,-8.92,16.73,21.12,34.91,34.55,32.78,3
19.18,-19.04,20.64,3.6,-12.3,23.82,25.83,41.97,12.88,28.59,3
-19.81,10.66,-3.13,23.15,-2.98,24.77,23.93,41.9,39.16,13.78,3
5.32,-11.4,-2.33,23.06,16.51,21.57,18.28,41.28,40.97,20.98,3
-2.75,4.82,21.68,23.46,-20.43,35.46,17.46,29.34,41.37,37.57,3
-22.26,-13.38,19.56,6.0,-9.42,32.14,32.85,29.02,33.09,17.8,3
6.71,4.71,-22.29,22.67,5.81,17.78,23.4,40.58,39.25,30.28,3
-22.07,15.33,22.92,-3.89,-19.0,23.83,22.13,40.25,37.86,33.66,3
-23.01,-7.75,3.12,17.85,21.58,41.72,13.08,35.36,39.48,32.8,3
